enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
,,inf,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,-10.0,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10.0,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,inf,
,,inf,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,inf,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,inf,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,Experience??,,,,,,,,,
