enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,-10,
,,1000.0,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,wrong_value,
,,1000.0,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,1000.0,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,1000.0,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,inf,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,-10,
,,inf,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,1000.0,,,,,,,,,,,
