enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,1000.0,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,Experience??,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,inf,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,inf,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
