enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
,,,,,,,,,,,,-10.0,
,,,,,,,,,,,,-10.0,
,,,,,,,,,,,,wrong_value,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,inf,
,,,UnknownGender,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,inf,
,,,UnknownGender,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,inf,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,inf,
,,inf,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,inf,
,,1000.0,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
