enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,UnknownGender,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,wrong_value,
,,1000.0,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,-10,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,Experience??,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,-10,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
