enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
,,1000.0,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,-10.0,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,-10.0,
,,1000.0,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,inf,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,inf,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,inf,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,inf,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,,
