enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
,,,UnknownGender,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10.0,
,,1000.0,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,1000.0,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,1000.0,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,inf,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,-10,
,,1000.0,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,-10,
,,1000.0,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,inf,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,,
