enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,-10.0,
,,,,,,,,,,,,wrong_value,
,,,UnknownGender,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,,
,,inf,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,wrong_value,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,-10,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,wrong_value,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,1000.0,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,inf,
,,inf,,,,,,,,,,,
,,1000.0,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,inf,
,,,UnknownGender,,,,,,,,,,
,,,,,,,,,,,,wrong_value,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,,
,,,,,,,,,,,,inf,
,,inf,,,,,,,,,,,
,,,UnknownGender,,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,Experience??,,,,,,,,,
,,,,,,,,,,,,-10,
,,inf,,,,,,,,,,,
,,,,,,,,,,,,-10,
,,,,,,,,,,,,inf,
,,,,,,,,,,,,,
,,,,,,,,,,,,inf,
