enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
28168.0,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,27.0,0.0
16173.0,city_138,0.836,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,1,17.0,0.0
23137.0,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Public Sector,2,24.0,1.0
20581.0,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,1,Oct-49,Public Sector,1,48.0,1.0
6003.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,11,100-500,Funded Startup,2,45.0,0.0
18532.0,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,1,45.0,1.0
19663.0,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,64.0,1.0
25736.0,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,3,62.0,0.0
15815.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Funded Startup,1,42.0,0.0
31778.0,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,>4,32.0,0.0
18051.0,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,46.0,0.0
31394.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Public Sector,1,33.0,0.0
2204.0,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,1,29.0,0.0
13618.0,city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,3,Oct-49,Pvt Ltd,1,198.0,0.0
12571.0,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,>4,70.0,0.0
16300.0,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,4,50-99,Pvt Ltd,1,28.0,1.0
4200.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,3,170.0,0.0
9079.0,city_9,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Pvt Ltd,1,84.0,0.0
5532.0,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Oct-49,Pvt Ltd,>4,46.0,0.0
124.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,34.0,1.0
5949.0,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,>4,268.0,0.0
10533.0,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Other,3,11.0,0.0
24289.0,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,2,12.0,1.0
28506.0,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,17,100-500,Pvt Ltd,>4,17.0,0.0
19105.0,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,2,59.0,0.0
7493.0,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,84.0,0.0
15415.0,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,1000-4999,Pvt Ltd,1,53.0,0.0
8148.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,28.0,0.0
29411.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,36.0,0.0
22061.0,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,2,78.0,0.0
28345.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Oct-49,Pvt Ltd,2,292.0,0.0
5168.0,city_10,0.895,Male,Has relevent experience,Part time course,Graduate,STEM,15,100-500,Pvt Ltd,1,14.0,0.0
13010.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Oct-49,Funded Startup,2,19.0,0.0
21556.0,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,1,51.0,1.0
28604.0,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Early Stage Startup,>4,39.0,0.0
14245.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,500-999,Funded Startup,1,198.0,0.0
28817.0,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141.0,1.0
19056.0,city_81,0.73,Male,No relevent experience,no_enrollment,Graduate,STEM,6,Oct-49,NGO,1,87.0,0.0
29534.0,city_27,0.848,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,1,57.0,0.0
11120.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Public Sector,>4,56.0,0.0
26788.0,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,16,500-999,Public Sector,>4,58.0,0.0
30845.0,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,2,102.0,1.0
25805.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,1,10000+,Pvt Ltd,1,25.0,0.0
11634.0,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Oct-49,Pvt Ltd,1,61.0,0.0
12921.0,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,2,1000-4999,Pvt Ltd,1,75.0,1.0
8139.0,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,15,1000-4999,Pvt Ltd,4,152.0,0.0
17399.0,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,300.0,0.0
14396.0,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,13.0,0.0
19185.0,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Oct-49,Pvt Ltd,4,28.0,1.0
9650.0,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,1,86.0,0.0
27808.0,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1,72.0,0.0
32168.0,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,42.0,0.0
15751.0,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,19.0,0.0
384.0,city_103,0.92,Male,No relevent experience,Full time course,Graduate,Other,9,1000-4999,Pvt Ltd,>4,102.0,0.0
16364.0,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,>4,36.0,1.0
708.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,13,Oct-49,Funded Startup,3,76.0,0.0
20971.0,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,30.0,0.0
1997.0,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Public Sector,1,5.0,1.0
22471.0,city_83,0.923,Male,Has relevent experience,no_enrollment,Phd,STEM,7,100-500,Pvt Ltd,4,26.0,0.0
531.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,80.0,0.0
3388.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,196.0,0.0
17044.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,97.0,0.0
24222.0,city_16,0.91,Male,No relevent experience,no_enrollment,Phd,STEM,9,1000-4999,Public Sector,>4,90.0,0.0
13178.0,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Funded Startup,3,29.0,1.0
30753.0,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,10000+,Pvt Ltd,1,60.0,1.0
23821.0,city_133,0.742,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10000+,NGO,>4,44.0,0.0
24366.0,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,78.0,1.0
10643.0,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,18.0,0.0
32718.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,>4,166.0,0.0
14820.0,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,3,112.0,0.0
3249.0,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,10,<10,Funded Startup,1,10.0,0.0
3989.0,city_141,0.763,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Funded Startup,1,86.0,0.0
27177.0,city_105,0.794,Male,Has relevent experience,no_enrollment,Masters,Business Degree,>20,50-99,Funded Startup,>4,30.0,0.0
6905.0,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,4,22.0,0.0
