enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
32313.0,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Public Sector,3,23.0,0.0
2440.0,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,17,10000+,Pvt Ltd,1,32.0,0.0
27783.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,16,50-99,Pvt Ltd,1,66.0,0.0
19131.0,city_103,0.92,Male,No relevent experience,Part time course,Graduate,STEM,2,10000+,Pvt Ltd,1,6.0,0.0
12510.0,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,112.0,1.0
12537.0,city_44,0.725,Female,No relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,2,52.0,0.0
3776.0,city_136,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,>20,50-99,Public Sector,>4,46.0,0.0
3949.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,<10,Pvt Ltd,3,80.0,0.0
13617.0,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,190.0,0.0
27821.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,7.0,0.0
14017.0,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,15.0,0.0
16146.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,4,Oct-49,Pvt Ltd,1,13.0,0.0
30125.0,city_114,0.926,Male,No relevent experience,Part time course,Masters,STEM,>20,1000-4999,NGO,1,20.0,0.0
19905.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,1000-4999,Pvt Ltd,>4,62.0,0.0
12932.0,city_138,0.836,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,2,17.0,0.0
24059.0,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,1,10000+,Pvt Ltd,1,39.0,0.0
13381.0,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,>4,95.0,1.0
27928.0,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,50-99,Pvt Ltd,1,61.0,0.0
15029.0,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,4,1000-4999,Pvt Ltd,1,66.0,0.0
28595.0,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,1,36.0,0.0
26701.0,city_77,0.83,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,>4,106.0,0.0
24656.0,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,3,10000+,Pvt Ltd,1,26.0,0.0
19367.0,city_89,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Pvt Ltd,4,88.0,0.0
22942.0,city_103,0.92,Male,Has relevent experience,Full time course,Masters,STEM,11,10000+,Pvt Ltd,>4,84.0,0.0
18655.0,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,2,2.0,1.0
20439.0,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Funded Startup,2,17.0,0.0
23944.0,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,500-999,Pvt Ltd,1,18.0,0.0
24361.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,>4,109.0,0.0
5937.0,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,2,90.0,0.0
15143.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Public Sector,1,18.0,0.0
33083.0,city_27,0.848,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,never,27.0,0.0
23622.0,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,4,25.0,1.0
