prediction,probability
0,0.07
0,0.05
1,0.66
1,0.91
0,0.115
1,0.9
1,0.81
0,0.15
0,0.0
0,0.04
0,0.0
0,0.03
0,0.0
0,0.335
0,0.03
1,0.78
0,0.03
0,0.02
0,0.015
1,0.655
0,0.005
0,0.025
1,0.885
0,0.03
0,0.065
0,0.125
0,0.01
0,0.10115012764072288
0,0.035
0,0.3
0,0.045
0,0.05
0,0.045
1,0.855
0,0.005
0,0.055
1,0.725
0,0.11
0,0.21
0,0.12
0,0.015
1,0.94
0,0.05
0,0.07
1,0.625
0,0.06
0,0.01
0,0.03
1,0.685
0,0.025
0,0.015
0,0.085
0,0.01
0,0.055
1,0.805
0,0.025
0,0.22
1,0.835
0,0.035
0,0.0037532623447123913
0,0.275
0,0.12
0,0.03
1,0.66
1,0.805
0,0.015
1,0.835
0,0.02
0,0.015
0,0.04
0,0.0
0,0.02
0,0.025
0,0.035
1,0.705
1,0.845
0,0.105
0,0.035
0,0.0
0,0.07
0,0.05
1,0.835
0,0.03
0,0.0
0,0.025
0,0.02
0,0.05
0,0.025
1,0.8037532623447123
0,0.02
0,0.05
1,0.785
0,0.015
0,0.07
0,0.04
0,0.025
0,0.06
0,0.0
0,0.05
1,0.65
0,0.08
0,0.07
0,0.035
0,0.265
0,0.075
0,0.0
0,0.005
0,0.015
0,0.075
0,0.015
0,0.055
0,0.035
0,0.055
1,0.875
0,0.045
1,0.7125065246894248
0,0.01
1,0.605
0,0.08
1,0.77
1,0.89
0,0.105
0,0.12
0,0.035
0,0.045
0,0.15
0,0.04
0,0.185
1,0.905
1,0.73
1,0.65
0,0.045
0,0.015
0,0.015
0,0.025
0,0.0
0,0.03
0,0.015
0,0.02
0,0.03
1,0.875
0,0.04
0,0.25
0,0.015
0,0.045
0,0.025
0,0.0
0,0.01
0,0.035
0,0.035
0,0.05
0,0.0
0,0.07
0,0.105
0,0.01
0,0.01
0,0.185
1,0.735
0,0.03
0,0.16
0,0.035
0,0.145
0,0.0
0,0.04
0,0.13
0,0.02
0,0.005
0,0.02
0,0.18
0,0.0
0,0.02
0,0.045
0,0.045
0,0.005
0,0.035
0,0.22
0,0.05
0,0.045
0,0.015
0,0.05
1,0.845
0,0.005
1,0.84
0,0.035
0,0.07
1,0.92
0,0.005
0,0.21
1,0.72
0,0.04
0,0.0
0,0.0
0,0.015
1,0.89
0,0.01
0,0.225
0,0.041434966938393936
0,0.03
0,0.065
0,0.0
0,0.01
0,0.03
0,0.115
0,0.065
0,0.11
0,0.015
0,0.085
0,0.03
0,0.01
0,0.05
0,0.005
0,0.02
0,0.055
0,0.165
0,0.01
0,0.07
0,0.03687908325929023
0,0.02
0,0.02
0,0.03
0,0.065
0,0.105
1,0.83
1,0.895
0,0.0
0,0.005
0,0.055
0,0.01
0,0.19
0,0.04
0,0.02
0,0.015
1,0.69
0,0.04
0,0.029287844002504546
0,0.0
0,0.005
0,0.005
0,0.025
0,0.005
0,0.08
1,0.805
1,0.64
1,0.715
0,0.045
0,0.065
0,0.18
0,0.025
0,0.055
0,0.04
0,0.07
0,0.01
0,0.04
1,0.655
0,0.0
0,0.005
0,0.01
0,0.015
0,0.02
0,0.035
0,0.04
1,0.500530089295361
0,0.145
0,0.0
0,0.045
1,0.68
0,0.06
0,0.015
0,0.025
0,0.115
0,0.055
0,0.075
1,0.745
0,0.075
0,0.005
0,0.03
0,0.015
0,0.015
0,0.02
0,0.0
0,0.02
0,0.055
0,0.025
0,0.065
0,0.15
0,0.015
0,0.01
0,0.05
1,0.9245015651085141
0,0.01
1,0.57
0,0.015
0,0.0
0,0.17
0,0.04
0,0.025
0,0.01
0,0.04
1,0.635
1,0.87
0,0.01
0,0.005
0,0.025
0,0.0
0,0.0
0,0.025
0,0.075
0,0.01
0,0.04
0,0.015
0,0.015
0,0.01
0,0.0
0,0.01
0,0.01
0,0.085
0,0.095
1,0.76
0,0.045
0,0.07
1,0.935
0,0.02
0,0.0
0,0.065
0,0.07
0,0.03
0,0.035
0,0.035
1,0.59
1,0.88
0,0.0
0,0.165
0,0.04
0,0.045
0,0.04
0,0.32
0,0.05
0,0.37232895034972147
0,0.035
0,0.005
0,0.03
1,0.705
0,0.05
0,0.005
0,0.03750435358038451
0,0.055
0,0.045
0,0.045
0,0.015
0,0.025
0,0.065
0,0.01
0,0.005
0,0.005
1,0.66
0,0.013004177982034676
0,0.015
1,0.76
0,0.035
0,0.02375326234471239
0,0.055
1,0.825
0,0.055
0,0.17
0,0.07
0,0.035
0,0.05
0,0.035
1,0.875
0,0.035
0,0.01
0,0.005
0,0.02
0,0.055
0,0.05
0,0.08
1,0.905
0,0.175
0,0.135
0,0.025
1,0.66
0,0.025
0,0.02
0,0.0037532623447123913
0,0.28
0,0.025
0,0.035
1,0.92
1,0.905
0,0.01
0,0.045
0,0.15
0,0.01
0,0.005
0,0.18
0,0.005
0,0.17
0,0.03
0,0.05
0,0.02
1,0.7
0,0.055
0,0.005
1,0.785
1,0.835
0,0.06
0,0.075
0,0.045
0,0.02
1,0.815
0,0.02
0,0.055
0,0.02
0,0.02965364762531418
1,0.605
0,0.04
0,0.01
0,0.045
0,0.085
0,0.015
1,0.64
1,0.895
0,0.04
0,0.025
0,0.06
0,0.01
1,0.635
0,0.135
0,0.01
0,0.06
0,0.035
0,0.005
0,0.025
1,0.88
0,0.02
0,0.05
0,0.0
0,0.0
0,0.04
1,0.655
0,0.045
0,0.32
1,0.76
1,0.955
0,0.025
0,0.0
0,0.065
