prediction,probability
0,0.03
0,0.005
0,0.04
0,0.245
0,0.025
0,0.025
0,0.01
0,0.03
0,0.055
0,0.015
0,0.01
0,0.02
1,0.87
0,0.05
1,0.785
0,0.005
1,0.675
0,0.015
0,0.02
0,0.05
0,0.16
0,0.045
0,0.03
0,0.015
0,0.01
0,0.03
0,0.105
0,0.035
0,0.01
0,0.18
0,0.085
0,0.015
0,0.115
0,0.015
0,0.06
0,0.01
0,0.04
0,0.03
0,0.01
0,0.2
0,0.025
0,0.015
0,0.015
0,0.02
0,0.0
0,0.055
1,0.885
0,0.005
0,0.105
0,0.025
0,0.005
0,0.03
1,0.805
0,0.02
0,0.07
0,0.075
0,0.195
0,0.005
0,0.005
0,0.145
0,0.0
0,0.06
0,0.045
0,0.09
1,0.87
0,0.095
0,0.0
0,0.045
1,0.84
0,0.005
0,0.0
0,0.035
1,0.73
1,0.6592400474276319
0,0.015
0,0.02
0,0.26
1,0.775
0,0.025
1,0.66
1,0.805
0,0.045
0,0.05
0,0.04
0,0.09
0,0.025
0,0.01
0,0.07
0,0.015
0,0.02
0,0.005
0,0.05
0,0.04
0,0.035
1,0.86
1,0.6493000005101622
0,0.205
0,0.025
1,0.935
0,0.025
0,0.045
0,0.03
0,0.15
0,0.01
1,0.87
0,0.025
0,0.04
0,0.055
0,0.21
0,0.075
0,0.07
1,0.775
0,0.035
0,0.01
0,0.11
0,0.065
0,0.3
1,0.9730041779820346
0,0.22
0,0.15
1,0.91
0,0.01
0,0.03
0,0.11
0,0.0
0,0.01
0,0.11
1,0.695
0,0.01
0,0.055
0,0.025
0,0.005
0,0.095
0,0.07
0,0.015
0,0.07
0,0.12
0,0.015
0,0.15
1,0.765
0,0.085
0,0.0
1,0.925
0,0.01
0,0.015
0,0.02
1,0.86
0,0.055
0,0.045
0,0.01
0,0.025
0,0.205
1,0.805
1,0.79
0,0.09
0,0.025
0,0.035
1,0.89
0,0.12
0,0.02
1,0.655
0,0.285
0,0.2387532623447124
0,0.005
1,0.955
0,0.01
0,0.09
0,0.045
0,0.015
0,0.01
0,0.015
0,0.105
0,0.065
0,0.05
0,0.055
0,0.04
1,0.86
0,0.02
0,0.02
0,0.06
0,0.045
0,0.13
1,0.89
0,0.03
0,0.0
0,0.005
0,0.055
0,0.035
0,0.245
0,0.0
0,0.075
0,0.125
1,0.585
0,0.015
0,0.03
0,0.005
0,0.025
0,0.04
0,0.045
1,0.915
1,0.795
0,0.06
0,0.02
0,0.05
0,0.045
0,0.025
0,0.055
0,0.205
0,0.065
0,0.07
0,0.035
0,0.16
0,0.045
1,0.685
0,0.08
0,0.025
0,0.025
0,0.01
0,0.03
0,0.015
0,0.025
0,0.01
0,0.0
0,0.1
0,0.025
0,0.01
0,0.005
0,0.16
0,0.085
0,0.025
0,0.01
0,0.01
1,0.91
0,0.05
0,0.005
0,0.03
0,0.02
0,0.025
0,0.015
0,0.015
0,0.0
0,0.03
0,0.185
0,0.02
0,0.0
0,0.305
0,0.015
1,0.63
0,0.02
1,0.71
0,0.08
0,0.015
0,0.1
1,0.68
1,0.8925043535803845
0,0.0
0,0.175
0,0.0
0,0.015
0,0.01
1,0.825
0,0.215
0,0.015
1,0.735
0,0.03
0,0.13
0,0.03
0,0.005
0,0.015
0,0.025
0,0.1
0,0.035
0,0.02
0,0.05
0,0.075
0,0.015
0,0.0
0,0.12
1,0.615
1,0.9
0,0.22
0,0.045
0,0.005
0,0.02
0,0.095
0,0.06
0,0.01
0,0.01
1,0.715
0,0.03
1,0.79
0,0.01
0,0.05
0,0.005
0,0.21875326234471237
0,0.01
0,0.19
0,0.195
0,0.01
1,0.85
0,0.04
0,0.05
0,0.01
0,0.005
0,0.04
0,0.0
0,0.22
1,0.865
1,0.77
0,0.055
0,0.075
0,0.0
0,0.01
0,0.005
1,0.67
1,0.665
0,0.08
0,0.055
0,0.015
0,0.055
0,0.04
0,0.015
0,0.08
0,0.09
1,0.815
0,0.1830041779820347
0,0.02
0,0.065
0,0.015
0,0.005
0,0.08
1,0.7
0,0.025
0,0.02
0,0.045
0,0.055
0,0.005
0,0.08
0,0.095
0,0.045
0,0.02
0,0.04
1,0.865
0,0.01
0,0.1
1,0.64
1,0.865
0,0.005
0,0.045
0,0.04
0,0.185
0,0.035
0,0.005
0,0.0
1,0.855
0,0.055
0,0.03
0,0.0
0,0.01
0,0.025
0,0.075
1,0.72
0,0.16
0,0.01
0,0.035
0,0.025
0,0.115
0,0.015
1,0.715
0,0.275
0,0.045
0,0.02
0,0.03
0,0.095
0,0.01
1,0.665
0,0.045
0,0.03
1,0.57
0,0.155
0,0.075
0,0.015
0,0.03
0,0.015
0,0.055
0,0.02
0,0.01
0,0.025
0,0.08
0,0.095
0,0.005
1,0.67
0,0.015
0,0.0
1,0.84
0,0.065
0,0.01
0,0.015
1,0.73
0,0.085
0,0.0
0,0.01
0,0.025
0,0.038004177982034676
0,0.0
0,0.0
0,0.02
0,0.055
0,0.165
0,0.045
0,0.06
0,0.035
0,0.02
0,0.025
0,0.005
0,0.005
0,0.01
0,0.015
0,0.04
0,0.02
0,0.075
1,0.89
0,0.04
0,0.005
0,0.03
0,0.02
0,0.05
0,0.115
0,0.25
0,0.095
1,0.665
1,0.7
0,0.02
1,0.85
0,0.05
1,0.8050702724509144
0,0.08
0,0.07
0,0.015
0,0.02
1,0.685
0,0.11
0,0.11
0,0.0
0,0.075
0,0.03929794067343793
0,0.105
0,0.135
