prediction,probability
1,0.675
0,0.005
1,0.625
0,0.23
0,0.0
1,0.68
0,0.06
0,0.0
0,0.2
0,0.055
0,0.005
0,0.02250652468942478
0,0.0
0,0.035
0,0.0
1,0.87
0,0.33
0,0.0
0,0.015
0,0.04
1,0.6096762397792104
0,0.055
0,0.02
0,0.04
0,0.16
0,0.035
0,0.01
0,0.03
0,0.245
0,0.085
0,0.025
1,0.7839933743559522
0,0.045
0,0.045
0,0.045
1,0.86
0,0.105
0,0.0
0,0.03
0,0.13
1,0.71
0,0.055
0,0.02
0,0.025
0,0.025
0,0.03
0,0.1
1,0.94
0,0.09
0,0.02
0,0.08
0,0.03
0,0.03
0,0.105
0,0.0
0,0.02
0,0.035
0,0.155
0,0.025
0,0.06
1,0.845
1,0.7
0,0.005
0,0.02
0,0.14
1,0.855
1,0.835
0,0.015
1,0.67
0,0.06
0,0.01
0,0.04
1,0.895
0,0.025
0,0.035
1,0.655
0,0.005
0,0.025
1,0.695
0,0.055
0,0.025
0,0.03
0,0.035
0,0.12
0,0.02
0,0.05
0,0.285
0,0.025
1,0.8
1,0.975
0,0.035
0,0.005
0,0.015
0,0.035
1,0.7
0,0.135
0,0.14
0,0.015
0,0.05
0,0.08
0,0.125
0,0.2
0,0.04
1,0.935
0,0.005
0,0.015
0,0.01
0,0.01
0,0.005
0,0.045
0,0.02
0,0.01
0,0.01
0,0.07
0,0.015
0,0.06
0,0.055
0,0.025
1,0.635
0,0.025
0,0.01
0,0.03
1,0.88
0,0.01
0,0.015
0,0.08461661931590182
0,0.06
0,0.03
0,0.13
0,0.005
1,0.78
0,0.015
1,0.615
0,0.005
0,0.02
0,0.03
0,0.205
0,0.01
0,0.01
0,0.025
0,0.0
0,0.04
0,0.0
0,0.05
1,0.66
0,0.03
0,0.02
0,0.025
0,0.135
0,0.15
0,0.025
1,0.62
0,0.075
1,0.72
0,0.155
0,0.015
0,0.0
0,0.335
0,0.045
0,0.03
1,0.81
0,0.0
0,0.02
0,0.03
0,0.015
0,0.025
0,0.005
0,0.255
0,0.045
0,0.185
0,0.04
0,0.115
0,0.03
0,0.225
0,0.0
0,0.005
0,0.045
0,0.065
0,0.095
0,0.08
0,0.035
0,0.055
0,0.04
0,0.015
1,0.845
0,0.01
0,0.035
0,0.08
0,0.255
0,0.01
0,0.34
0,0.02
0,0.015
0,0.015
0,0.035
0,0.165
0,0.0
1,0.83
0,0.035
0,0.01
1,0.865
0,0.11
0,0.045
0,0.05
0,0.055
1,0.71
0,0.015
0,0.2
0,0.19
0,0.04
1,0.715
0,0.22
0,0.02
1,0.815
0,0.005
0,0.005
0,0.006341378919541929
0,0.185
0,0.27
0,0.01
0,0.065
1,0.94
1,0.6525065246894247
0,0.035
1,0.795
0,0.075
0,0.01
1,0.88
0,0.14
0,0.055
0,0.035
0,0.025
0,0.05
0,0.015
0,0.025
0,0.015
0,0.115
1,0.885
0,0.055
0,0.095
0,0.21
0,0.01
0,0.08
1,0.78
0,0.035
0,0.02
0,0.015
0,0.055
0,0.0
0,0.15
0,0.06
0,0.015
1,0.665
0,0.02
0,0.035
0,0.005
0,0.045
1,0.85
0,0.02
0,0.01
0,0.005
0,0.02
0,0.01
0,0.055
0,0.045
0,0.01
0,0.085
0,0.005
1,0.645
0,0.01
0,0.275
0,0.01
0,0.045
1,0.82
0,0.015
0,0.025
0,0.03
0,0.04
0,0.02
0,0.02
0,0.065
1,0.985
0,0.195
1,0.915
0,0.025
1,0.775
0,0.005
0,0.01
0,0.0
0,0.03
0,0.005
0,0.02
1,0.755
1,0.915
0,0.02
1,0.5808772305664351
0,0.02
0,0.01
0,0.055
0,0.17
0,0.0
0,0.015
0,0.30334818458360013
0,0.06
0,0.015
0,0.245
0,0.055
1,0.63
0,0.04800417798203467
1,0.86
0,0.14
0,0.0
0,0.005
0,0.025
0,0.035
0,0.015
0,0.01
0,0.015
0,0.005
0,0.085
1,0.715
1,0.635
0,0.02
0,0.08
0,0.2763413789195419
0,0.045
0,0.02
0,0.31
1,0.645
1,0.685
0,0.025
0,0.025
0,0.09
1,0.765
0,0.055
1,0.695
0,0.0
0,0.015
0,0.22
0,0.065
1,0.615
0,0.025
0,0.055
0,0.04
0,0.014287844002504546
0,0.04
1,0.825
0,0.065
0,0.0
0,0.01
0,0.11
0,0.015
1,0.67
1,0.67
1,0.5293506109433743
1,0.625
0,0.005
0,0.025
0,0.045
1,0.8
1,0.75
0,0.01
0,0.15
0,0.085
0,0.015
1,0.925
0,0.105
0,0.0
0,0.035
0,0.06
0,0.005
0,0.03250574309054887
0,0.01
0,0.02
0,0.0
0,0.015
0,0.03
0,0.015
0,0.055
0,0.06
0,0.1
1,0.68
0,0.005
0,0.03
0,0.04
0,0.155
0,0.115
0,0.16
0,0.01
1,0.88
0,0.01
0,0.005
0,0.07
0,0.012504353580384509
0,0.07
0,0.215
0,0.03
0,0.02
0,0.1
1,0.705
0,0.02
0,0.025
0,0.015
0,0.025
0,0.055
0,0.06
0,0.055
0,0.005
1,0.68
0,0.05
0,0.005
0,0.22
1,0.855
0,0.02
1,0.975
0,0.015
1,0.63
1,0.81
0,0.03
0,0.205
1,0.84
0,0.04
0,0.015
1,0.65
0,0.07
0,0.05
0,0.105
0,0.06
0,0.165
0,0.19
1,0.795
0,0.09
0,0.01
0,0.0
0,0.025
0,0.015
0,0.06
0,0.02
1,0.835
0,0.11
0,0.02
0,0.02
1,0.6592400474276319
0,0.01
0,0.135
0,0.07
1,0.805
