prediction,probability
0,0.17
0,0.055
0,0.015
0,0.085
0,0.03
1,0.865
0,0.02
0,0.035
0,0.015
0,0.06
0,0.04
0,0.05
0,0.035
1,0.675
0,0.03
0,0.075
1,0.75
0,0.015
0,0.26
0,0.0
0,0.105
0,0.03
0,0.01
0,0.015
0,0.02
0,0.01
0,0.01
0,0.07
0,0.015
0,0.045
0,0.035
0,0.01
1,0.675
0,0.025
0,0.145
0,0.015
0,0.0
0,0.0
0,0.01
0,0.045
0,0.055
0,0.005
0,0.005
0,0.01
1,0.92
0,0.1
0,0.01
0,0.24
0,0.03
0,0.0
0,0.035
0,0.035
0,0.03
0,0.1
0,0.23
0,0.0
0,0.0
0,0.065
1,0.84
0,0.01
0,0.005
0,0.01
0,0.08
0,0.105
1,0.855
1,0.655
0,0.05
1,0.885
0,0.165
0,0.015
0,0.02
0,0.025
0,0.09
0,0.02
0,0.04
0,0.045
0,0.185
0,0.155
0,0.035
1,0.615
0,0.055
0,0.015
0,0.01
0,0.025
0,0.05
1,0.665
0,0.035
0,0.01
0,0.055
0,0.09
0,0.0
1,0.61
0,0.015
0,0.01
1,0.725
0,0.025
0,0.035
1,0.645
1,0.765
1,0.65
1,0.715
0,0.06
0,0.02
0,0.025
0,0.055
0,0.11
1,0.9
0,0.015
0,0.06
0,0.015
0,0.16
0,0.02
0,0.015
0,0.005
0,0.045
0,0.0
1,0.705
0,0.03
0,0.035
1,0.835
0,0.005
0,0.02
0,0.035
0,0.03
0,0.02
1,0.675
0,0.02
0,0.005
0,0.005
0,0.0
0,0.0
0,0.02
0,0.005
1,0.77
0,0.035
0,0.005
1,0.88
1,0.665
0,0.015
0,0.0
0,0.065
1,0.84
1,0.95
0,0.035
0,0.025
1,0.935
0,0.035
0,0.025
0,0.09
0,0.01
1,0.65
0,0.005
1,0.87
0,0.005
0,0.03
0,0.03
0,0.03
1,0.7
0,0.165
1,0.795
0,0.0
0,0.0
0,0.06
0,0.025
0,0.04
0,0.13
0,0.13
0,0.04
0,0.02
0,0.02
0,0.01
0,0.04
1,0.775
0,0.035
0,0.04
0,0.015
0,0.005
0,0.02
0,0.04
0,0.0
0,0.0
0,0.005
0,0.0
0,0.165
0,0.03
1,0.645
0,0.02
1,0.815
0,0.0
0,0.045
0,0.065
0,0.005
0,0.005
0,0.02
0,0.12
0,0.03
1,0.785
0,0.04
0,0.015
1,0.69
0,0.035
0,0.08
0,0.015
0,0.04
0,0.025
0,0.04
0,0.03
0,0.015
0,0.04
0,0.215
0,0.065
0,0.075
0,0.03
0,0.005
0,0.0613740596426489
1,0.705
0,0.005
0,0.005
0,0.01
0,0.045
0,0.05
0,0.065
0,0.06
1,0.8687532623447123
0,0.1
0,0.015
0,0.0
0,0.0
0,0.01
0,0.275
0,0.02
0,0.075
0,0.02
0,0.035
0,0.015
0,0.015
0,0.055
0,0.02
0,0.02
0,0.02
1,0.635
1,0.715
0,0.035
0,0.02
0,0.095
0,0.025
1,0.77
0,0.09
0,0.03
0,0.015
0,0.0
0,0.09
0,0.115
0,0.045
0,0.03
1,0.995
0,0.05
0,0.005
1,0.895
1,0.875
0,0.02
0,0.225
0,0.045
0,0.17
0,0.135
0,0.005
0,0.03
0,0.145
0,0.005
0,0.025
1,0.77
0,0.095
0,0.015
0,0.015
0,0.175
0,0.24
0,0.07
1,0.825
1,0.79
0,0.035
1,0.705
0,0.1
0,0.02
0,0.065
0,0.085
0,0.04
1,0.74
0,0.025
0,0.215
1,0.665
0,0.02
0,0.085
1,0.645
0,0.02
0,0.035
0,0.075
1,0.77
1,0.89
0,0.055
0,0.025
0,0.015
0,0.0
0,0.125
0,0.07
0,0.045
0,0.025
0,0.01833720093750725
0,0.055
0,0.08
0,0.015
0,0.255
1,0.9
0,0.0
1,0.67
0,0.02
1,0.805
0,0.045
0,0.07
0,0.115
0,0.025
1,0.795
0,0.045
0,0.04
1,0.675
0,0.08
0,0.07
0,0.005
0,0.16
0,0.03
0,0.015
0,0.01675744032674707
0,0.025
0,0.05
1,0.67
0,0.15
1,0.875
1,0.72
1,0.96
0,0.065
0,0.055
0,0.035
1,0.795
1,0.635
0,0.035
0,0.0
0,0.02
0,0.02
0,0.01
0,0.04
0,0.05
0,0.04
0,0.02
0,0.04
0,0.05
0,0.06
1,0.675
0,0.255
0,0.03
0,0.02
0,0.0
1,0.835
1,0.99
0,0.225
0,0.035
0,0.02
0,0.015
1,0.71
1,0.675
0,0.025
0,0.03
0,0.015
0,0.045
0,0.0
1,0.65
0,0.07
0,0.22
0,0.045
1,0.93
0,0.19
0,0.065
0,0.005
1,0.695
0,0.025
0,0.025
0,0.05
0,0.32
0,0.01
1,0.895
0,0.03
0,0.005
0,0.27
1,0.865
0,0.075
0,0.0
0,0.02
1,0.77
0,0.03
0,0.02
0,0.02
0,0.045
0,0.04
1,0.93
0,0.01
0,0.0
0,0.035
1,0.8
0,0.025
0,0.02
1,0.77
0,0.21
0,0.075
0,0.01
0,0.19
1,0.88
0,0.01
0,0.02
0,0.02
0,0.035
0,0.01
0,0.005
0,0.075
0,0.005
0,0.03
1,0.905
0,0.065
0,0.09
0,0.02
0,0.05
0,0.015
0,0.16
0,0.0
0,0.04
0,0.085
0,0.035
0,0.035
1,0.83
0,0.005
0,0.03
0,0.0
0,0.025
0,0.0
0,0.01
0,0.155
0,0.105
0,0.035
0,0.06
0,0.04
0,0.06
