prediction,probability
0,0.015
0,0.0
0,0.02
1,0.64
0,0.02
1,0.66
0,0.04
0,0.01
0,0.005
0,0.065
0,0.275
0,0.2
1,0.835
0,0.045
0,0.05
0,0.01
0,0.005
0,0.015
0,0.0
0,0.04
0,0.025
0,0.06
0,0.04
0,0.03
0,0.09
1,0.795
1,0.645
0,0.16
0,0.01
0,0.0
0,0.02
0,0.015
0,0.01
0,0.03
0,0.025
0,0.115
0,0.25
0,0.045
0,0.0
0,0.015
0,0.015
0,0.04
0,0.02
0,0.06
0,0.015
0,0.085
0,0.03
0,0.105
0,0.02
0,0.013337200937507253
0,0.025
0,0.185
0,0.225
0,0.065
0,0.01
0,0.045
1,0.815
0,0.02
1,0.63
0,0.015
1,0.645
1,0.88
0,0.28
0,0.03
0,0.1
0,0.025
1,0.845
0,0.04
0,0.02
0,0.005
1,0.875
0,0.0
0,0.005
0,0.255
0,0.0
0,0.03
0,0.135
0,0.0
0,0.02
1,0.875
0,0.02
0,0.005
0,0.05
0,0.275
1,0.635
0,0.04
0,0.17
0,0.005
1,0.6
0,0.015
0,0.155
0,0.03
0,0.04
0,0.05
0,0.075
0,0.07
0,0.045
0,0.07
1,0.745
0,0.045
0,0.06
1,0.765
0,0.09
0,0.005
1,0.7
0,0.04
0,0.01
0,0.05
0,0.005
0,0.11
1,0.735
0,0.19
0,0.04
0,0.095
0,0.07
0,0.3
0,0.06
1,0.95
0,0.06
0,0.09
0,0.005
0,0.16375326234471238
0,0.005
0,0.025
0,0.075
1,0.895
0,0.06
0,0.035
1,0.7839933743559522
1,0.66
0,0.295
0,0.04
0,0.28
0,0.01
0,0.015
0,0.015
0,0.01
0,0.02
1,0.765
1,0.735
0,0.02
1,0.655
1,0.75
0,0.1
0,0.105
0,0.07
0,0.135
0,0.24
0,0.065
0,0.01
0,0.015
0,0.085
0,0.02
0,0.075
0,0.0
0,0.2480041779820347
1,0.595
0,0.02
0,0.1
1,0.845
0,0.095
0,0.125
0,0.025
0,0.03
0,0.1
0,0.0
0,0.02
0,0.09
0,0.03
0,0.21
0,0.02
0,0.155
0,0.06
1,0.855
1,0.92
0,0.12
0,0.025
0,0.08
0,0.045
0,0.22
0,0.02
0,0.24
0,0.035
0,0.025
0,0.135
0,0.18647846141797017
0,0.02
0,0.03
0,0.04
0,0.07
0,0.01
0,0.04
0,0.43599897480880156
0,0.005
0,0.21
1,0.815
0,0.175
0,0.025
0,0.065
1,0.85
0,0.01
0,0.01
0,0.0
1,0.63
0,0.01
0,0.005
0,0.03
1,0.69
1,0.715
0,0.145
0,0.01
0,0.015
0,0.03
0,0.025
0,0.01
1,0.63
0,0.015
0,0.01
0,0.17
1,0.76
0,0.23
0,0.055
0,0.07
0,0.01
0,0.07
0,0.005
0,0.125
0,0.035
0,0.06
0,0.345
0,0.005
0,0.05
0,0.02
0,0.035
0,0.04
0,0.065
0,0.295
0,0.04
0,0.085
1,0.825
0,0.05
0,0.01
0,0.005
0,0.29
0,0.03
0,0.235
0,0.125
0,0.03
0,0.11
1,0.875
1,0.96
1,0.82
0,0.145
1,0.78
0,0.095
0,0.07
1,0.76
1,0.675
0,0.06
0,0.055
0,0.04
0,0.32
0,0.02
1,0.865
0,0.035
0,0.02
0,0.02
0,0.015
0,0.025
0,0.05
0,0.035
0,0.245
0,0.05
1,0.72
0,0.01
0,0.055
0,0.015
1,0.665
0,0.015
0,0.04
0,0.28
0,0.13
0,0.04
0,0.015
0,0.065
0,0.01
1,0.67
0,0.035
0,0.005
1,0.705
0,0.06
1,0.675
0,0.18
0,0.12
0,0.065
0,0.04
0,0.035
0,0.03
1,0.92
0,0.065
0,0.005
0,0.06
1,0.92
1,0.69
0,0.12
0,0.005
0,0.04
0,0.03
0,0.08
0,0.0
0,0.055
0,0.035
0,0.035
0,0.025
0,0.05
0,0.015
0,0.04
0,0.03
0,0.0
0,0.005
0,0.035
0,0.03
0,0.065
0,0.045
0,0.035
0,0.04
0,0.005
1,0.69
0,0.09
0,0.005
0,0.015
0,0.01
0,0.025
0,0.07
0,0.035
0,0.02
1,0.57
1,0.71
0,0.05800417798203467
0,0.035
1,0.705
0,0.015
0,0.03
0,0.0
0,0.11
1,0.785
1,0.675
0,0.07
0,0.085
0,0.0
1,0.755
0,0.025
0,0.01
1,0.64
0,0.07
0,0.20436948455023543
0,0.01
0,0.025
0,0.07
0,0.03
0,0.035
0,0.005
0,0.04
0,0.195
0,0.015
0,0.005
0,0.025
0,0.11
0,0.0
0,0.045
0,0.015
0,0.2
1,0.7048354750391462
1,0.895
0,0.045
0,0.035
0,0.04
1,0.8
0,0.06
1,0.65
0,0.045
1,0.69
0,0.0
0,0.01
0,0.02
0,0.235
0,0.03
0,0.085
0,0.02
0,0.025
1,0.7
0,0.02
0,0.01
0,0.025
0,0.035
0,0.055
0,0.055
0,0.025
0,0.02
0,0.12
0,0.175
0,0.025
0,0.035
1,0.64
0,0.025
0,0.14
0,0.03
0,0.05
0,0.05
1,0.63
0,0.035
1,0.685
0,0.225
0,0.01
0,0.03
0,0.1
0,0.025
0,0.055
1,0.805
0,0.125
0,0.015
0,0.05
0,0.02
1,0.685
0,0.015
0,0.135
0,0.02
1,0.775
0,0.025
0,0.04875326234471239
0,0.03
0,0.015
0,0.075
0,0.025
0,0.025
0,0.105
1,0.675
1,0.95
0,0.06
0,0.05
1,0.96
0,0.065
0,0.07
0,0.025
0,0.01
0,0.07
0,0.04
0,0.05
