prediction,probability
0,0.035
0,0.16
0,0.005
0,0.065
1,0.85
1,0.885
0,0.03
0,0.015
1,0.82
0,0.03
0,0.025
0,0.005
0,0.04
0,0.005
0,0.005
0,0.035
0,0.045
0,0.01
0,0.005
0,0.0
0,0.115
0,0.01
0,0.035
0,0.1
0,0.015
0,0.095
0,0.035
0,0.035
0,0.035
0,0.01
0,0.015
0,0.015
0,0.165
1,0.84
0,0.03
0,0.25
1,0.98
0,0.06
0,0.05
1,0.82
0,0.005
0,0.08
0,0.04
0,0.025
0,0.03
0,0.075
1,0.84
0,0.015
0,0.03
0,0.02
1,0.745
0,0.01
0,0.055
0,0.025
0,0.01
0,0.02
1,0.895
0,0.005
0,0.27
0,0.03
0,0.025
0,0.03
1,0.94
0,0.085
1,0.815
0,0.005
1,0.9
1,0.64
0,0.21
1,0.775
0,0.01
0,0.025
0,0.05
0,0.02
0,0.2437532623447124
0,0.04375326234471239
0,0.03
0,0.025
0,0.17
1,0.905
1,0.735
0,0.34
1,0.69
0,0.035
0,0.035
0,0.175
1,0.91
0,0.03
0,0.0
0,0.025
0,0.035
0,0.06
1,0.74
0,0.04
0,0.06
0,0.07
0,0.05
0,0.01
0,0.19
1,0.685
0,0.07
0,0.02
0,0.03
0,0.07
0,0.005
1,0.605
0,0.015
0,0.005
0,0.025
0,0.01
1,0.695
0,0.0
1,0.62
1,0.62
1,0.73
1,0.68
0,0.055
0,0.035
0,0.04
0,0.05
0,0.0
0,0.05
0,0.02
0,0.035
0,0.075
0,0.02
0,0.015
0,0.065
1,0.675
0,0.065
1,0.885
0,0.35
0,0.015
0,0.24
1,0.85
0,0.085
0,0.025
0,0.02
0,0.005
0,0.025
0,0.31
0,0.0
0,0.08
0,0.02
0,0.03
0,0.335
0,0.01
0,0.045
0,0.025
1,0.76
0,0.06
0,0.1
0,0.05
0,0.09
0,0.06
0,0.02
0,0.035
0,0.015
0,0.055
1,0.63
1,0.75
1,0.865
0,0.015
0,0.015
0,0.05
0,0.18
0,0.03
0,0.005
0,0.035
0,0.01
0,0.03
0,0.01
0,0.025
0,0.25461661931590185
0,0.12
0,0.04333720093750725
0,0.025
0,0.05
0,0.055
0,0.175
0,0.14
0,0.0
0,0.24
0,0.035
1,0.86
1,0.71
0,0.1
0,0.025
0,0.045
0,0.005
0,0.04
0,0.255
0,0.065
0,0.245
0,0.015
0,0.03554763103664172
0,0.03
1,0.655
0,0.145
1,0.895
0,0.065
0,0.025
0,0.0
0,0.08
1,0.625
0,0.02
0,0.11
0,0.03
1,0.66
0,0.075
0,0.095
0,0.013753262344712391
0,0.005
0,0.065
0,0.015
0,0.01
0,0.015
0,0.01
0,0.09
0,0.03
0,0.105
0,0.075
0,0.045
0,0.005
0,0.025
0,0.0
0,0.02
0,0.025
0,0.025
0,0.0
0,0.005
0,0.1
0,0.29
0,0.025
0,0.0
0,0.37
0,0.01
0,0.065
0,0.105
0,0.075
0,0.0
0,0.07
0,0.105
0,0.02
0,0.01875326234471239
0,0.34
0,0.01
0,0.17
0,0.01
0,0.02
0,0.01
0,0.035
0,0.035
0,0.16
0,0.005
0,0.01
0,0.045
0,0.065
1,0.75
0,0.025
0,0.26
1,0.66
0,0.0
0,0.085
0,0.03
0,0.032064518563130265
1,0.575
0,0.24
0,0.025
0,0.01
0,0.08
0,0.16
0,0.01
0,0.0
0,0.065
0,0.035
0,0.035
0,0.145
0,0.3010083559640694
1,0.705
0,0.035
0,0.005
1,0.72
0,0.015
0,0.04
0,0.035
0,0.125
0,0.08
0,0.005
0,0.025
0,0.025
1,0.735
1,0.63
0,0.08
0,0.065
1,0.64
0,0.01
0,0.035
1,0.665
1,0.72
0,0.025
0,0.0
0,0.075
0,0.21
0,0.01
0,0.2
0,0.015
0,0.075
0,0.085
0,0.0
1,0.67
0,0.07
0,0.015
0,0.04
0,0.01
0,0.055
0,0.04
0,0.05
0,0.035
0,0.025
0,0.035
0,0.03
0,0.01
1,0.595
0,0.055
0,0.0
1,0.66
1,0.635
0,0.125
0,0.07
0,0.12
1,0.77
0,0.015
0,0.05
0,0.015
0,0.005
0,0.03
0,0.03
0,0.02
1,0.67
0,0.045
0,0.285
0,0.0
0,0.055
0,0.01
1,0.905
0,0.035
0,0.245
0,0.02
0,0.02
0,0.165
0,0.08
0,0.19
0,0.025
0,0.06
0,0.085
0,0.055
0,0.2
0,0.01
0,0.04
0,0.085
0,0.045
0,0.03
1,0.865
0,0.02
0,0.0
0,0.005
0,0.03
0,0.04
0,0.1
0,0.02
1,0.655
1,0.685
0,0.0
0,0.02
0,0.025
0,0.045
0,0.005
0,0.0
0,0.075
0,0.075
0,0.005
1,0.7
0,0.06
1,0.94
0,0.075
0,0.29
1,0.89
0,0.07
0,0.125
1,0.675
0,0.005
1,0.7078957962715714
0,0.145
1,0.9
0,0.10625978703413719
0,0.005
0,0.06
1,0.805
0,0.025
0,0.29
1,0.91
0,0.02
0,0.025
1,0.735
0,0.02
0,0.04
0,0.015
0,0.015
0,0.015
0,0.04
0,0.005
0,0.04
1,0.89
0,0.0
0,0.0
0,0.1
1,0.65
1,0.825
0,0.025
0,0.075
1,0.875
0,0.03
1,0.83
0,0.1
0,0.015
0,0.025
0,0.085
0,0.035
0,0.035
0,0.08
0,0.015
0,0.005
0,0.115
0,0.015
0,0.07
0,0.22
1,0.805
1,0.73
0,0.0
0,0.08
1,0.945
0,0.01
0,0.015
0,0.13
0,0.04
0,0.005
0,0.2
