prediction,probability
1,0.88
0,0.03
1,0.765
0,0.13
0,0.055
0,0.055
0,0.045
1,0.74
0,0.045
0,0.03
0,0.0
1,0.55
0,0.055
1,0.745
0,0.06
0,0.23
0,0.03
0,0.0
0,0.175
0,0.015
0,0.02
0,0.185
0,0.06
0,0.195
0,0.02
0,0.085
0,0.03
0,0.0
0,0.06
0,0.01
0,0.05
1,0.89
1,0.67
1,0.775
0,0.02
1,0.655
0,0.05
0,0.025
0,0.04
0,0.025
0,0.005
0,0.0
0,0.005
0,0.055
0,0.0
0,0.14
0,0.005
0,0.04
0,0.02
1,0.915
0,0.025
0,0.005
1,0.8
0,0.045
1,0.96
0,0.01
0,0.085
0,0.07
0,0.005
1,0.68
1,0.85
0,0.055
0,0.055
0,0.065
1,0.675
1,0.72
0,0.06
0,0.095
0,0.27
1,0.865
1,0.79
0,0.085
0,0.325
0,0.05
1,0.86
0,0.01
0,0.03
0,0.0
0,0.03
0,0.005
0,0.015
0,0.02
1,0.66
0,0.27
0,0.05
1,0.775
0,0.035
0,0.12
0,0.01
0,0.29
0,0.02
0,0.03
0,0.045
1,0.69
0,0.0
0,0.05
0,0.005
0,0.145
0,0.015
0,0.02
0,0.02
0,0.02
0,0.008337200937507252
1,0.675
0,0.005
0,0.025
0,0.01
1,0.69
0,0.045
0,0.12
1,0.64
1,0.95
0,0.03
1,0.695
0,0.075
0,0.025
1,0.735
0,0.005
0,0.015
0,0.025
1,0.8
0,0.015
0,0.015
1,0.81
0,0.205
0,0.015
0,0.01
0,0.06
0,0.015
1,0.94
0,0.03
0,0.05
1,0.71
0,0.35
0,0.04
0,0.005
1,0.745
0,0.095
0,0.025
0,0.0
0,0.053753262344712394
0,0.215
0,0.02
0,0.015
1,0.6625535497255405
0,0.04
1,0.625
0,0.01
0,0.075
0,0.04
0,0.05
0,0.01
0,0.04
0,0.01
0,0.05
0,0.085
0,0.0
1,0.835
0,0.01
0,0.235
0,0.05
0,0.01
1,0.695
0,0.035
0,0.08
0,0.065
0,0.045
0,0.055
0,0.05
0,0.025
0,0.04
0,0.06
1,0.92
0,0.085
1,0.795
0,0.015
0,0.04
0,0.03
0,0.0
0,0.06
0,0.01
0,0.04179219758288905
0,0.01
0,0.11
1,0.895
0,0.01
0,0.015
1,0.615
0,0.08
0,0.065
1,0.8880041779820347
1,0.945
0,0.025
0,0.0
1,0.72
1,0.66
0,0.03
1,0.795
0,0.035
0,0.01
0,0.005
0,0.04
0,0.14
0,0.245
0,0.03
0,0.035
0,0.01
0,0.01
0,0.015
0,0.025
0,0.01
1,0.725
0,0.015
0,0.22
0,0.045
0,0.025
0,0.235
0,0.0
0,0.05
0,0.0037532623447123913
0,0.03
0,0.22
0,0.015
1,0.87
0,0.25
0,0.03
0,0.02
1,0.635
1,0.785
0,0.125
0,0.015
0,0.26
0,0.005
0,0.035
0,0.17
0,0.02
0,0.03
0,0.015
1,0.805
0,0.045
0,0.045
0,0.225
0,0.0
0,0.065
0,0.015
0,0.0
0,0.025
0,0.04
0,0.01
0,0.19
1,0.87
0,0.015
0,0.16
1,0.715
0,0.015
0,0.0
0,0.33
1,0.64
1,0.9
1,0.925
0,0.005
0,0.01
0,0.005
0,0.09
0,0.025
0,0.26
0,0.195
0,0.022386663248793542
0,0.005
0,0.005
0,0.12
0,0.03
0,0.01
0,0.175
1,0.64
0,0.1
0,0.025
0,0.045
0,0.05
0,0.025
1,0.655
0,0.025
1,0.805
0,0.26375326234471236
0,0.04
0,0.015
0,0.035
0,0.025
1,0.77
0,0.2
1,0.7925043535803846
0,0.02
0,0.125
0,0.265
0,0.12
0,0.005
0,0.02
0,0.025
1,0.72
0,0.02
1,0.705
0,0.04
0,0.09
0,0.025
0,0.13
0,0.015
0,0.025
0,0.0
0,0.035
0,0.115
0,0.01
0,0.205
0,0.02
0,0.025
0,0.05
0,0.065
1,0.7
0,0.15
0,0.07
0,0.015
0,0.03
0,0.125
1,0.96
0,0.025
0,0.04
1,0.6642586313236134
0,0.035
1,0.74
0,0.04
0,0.02
0,0.025
1,0.835
0,0.075
1,0.69
0,0.005
0,0.02
0,0.04
0,0.015
1,0.805
0,0.135
1,0.8
0,0.015
0,0.025
0,0.02
0,0.005
0,0.0
0,0.01
1,0.91
0,0.02
0,0.02
0,0.025
0,0.005
1,0.895
0,0.03
0,0.02
0,0.06
1,0.755
0,0.01
1,0.89
1,0.905
0,0.0
0,0.275
1,0.65
0,0.02
0,0.035
1,0.74
1,0.695
0,0.005
0,0.095
0,0.27
0,0.045
0,0.015
0,0.008753262344712392
0,0.08
0,0.0
0,0.02
0,0.085
0,0.035
1,0.85
0,0.025
0,0.18
0,0.005
0,0.105
0,0.025
0,0.025
0,0.08
1,0.605
0,0.02
0,0.05
0,0.04
0,0.06
0,0.055
1,0.83
0,0.045
1,0.67
0,0.025
0,0.05
0,0.01
0,0.005
0,0.025
0,0.03
0,0.075
0,0.06
0,0.06
0,0.055
0,0.125
0,0.045
0,0.005
0,0.04
0,0.01
1,0.635
0,0.05
0,0.045
0,0.135
0,0.065
0,0.035
0,0.125
1,0.72
0,0.01
0,0.035
0,0.07
0,0.13
0,0.05
1,0.5467128251206579
0,0.015
0,0.105
0,0.025
0,0.01
1,0.885
1,0.905
1,0.95
0,0.035
0,0.04
0,0.045
0,0.07
1,0.865
0,0.025
0,0.025
1,0.795
0,0.045
0,0.005
0,0.0
0,0.105
1,0.695
0,0.0
0,0.045
0,0.01
0,0.11
