prediction,probability
0,0.01
1,0.9395015651085142
1,0.93
0,0.075
1,0.72
0,0.005
0,0.035
0,0.025
0,0.11800417798203468
0,0.05875326234471239
0,0.005
1,0.875
0,0.005
0,0.075
1,0.905
0,0.19
0,0.045
1,0.68
0,0.005
0,0.015
0,0.145
0,0.055
1,0.97
0,0.06
1,0.78
0,0.015
0,0.05
0,0.04
0,0.04750435358038451
1,0.5824963787850513
1,0.655
0,0.01
1,0.825
1,0.825
0,0.02
0,0.065
0,0.015
0,0.025
1,0.825
1,0.76
1,0.97
0,0.145
1,0.81
0,0.01
0,0.01
0,0.045
0,0.03
0,0.0
0,0.005
1,0.64
0,0.06
0,0.035
0,0.055
0,0.0
0,0.175
0,0.115
0,0.07
0,0.02
1,0.71
0,0.035
0,0.255
0,0.03
0,0.07
0,0.15
0,0.025
0,0.11
0,0.01875326234471239
0,0.025
0,0.005
0,0.285
0,0.065
0,0.005
0,0.005
0,0.025
0,0.055
0,0.025
0,0.085
0,0.295
0,0.015
0,0.25214712293588937
0,0.047292021984539225
0,0.015
0,0.035
0,0.0
0,0.22
0,0.105
0,0.025
0,0.02
0,0.015
0,0.02
0,0.015
0,0.055
1,0.71
0,0.07584165989417534
0,0.045
0,0.21
0,0.065
0,0.085
0,0.025
0,0.25
1,0.86
0,0.01
0,0.03
1,0.695
0,0.065
0,0.08
0,0.06
0,0.015
0,0.015
0,0.025
0,0.015
0,0.015
0,0.01
0,0.03
0,0.2
1,0.825
0,0.06
0,0.025
0,0.335
0,0.02
0,0.015
0,0.005
0,0.03
0,0.02
0,0.07
1,0.695
0,0.005
0,0.235
0,0.03
0,0.075
0,0.06
0,0.035
1,0.77
0,0.05
0,0.05
0,0.04
0,0.0
1,0.935
0,0.045
0,0.06
0,0.145
1,0.705
0,0.015
1,0.86
0,0.045
0,0.045
0,0.01
0,0.25
0,0.0
0,0.05
0,0.045
0,0.065
0,0.01
0,0.015
0,0.02
0,0.21
0,0.06
1,0.655
0,0.005
0,0.285
0,0.015
1,0.94
0,0.03
0,0.035
0,0.055
0,0.0
0,0.235
0,0.13
0,0.005
0,0.035
0,0.005
0,0.0
1,0.8
0,0.005
0,0.04
0,0.035
0,0.065
0,0.065
1,0.845
0,0.125
0,0.01
0,0.23
0,0.13
0,0.005
1,0.71
0,0.04
0,0.03
0,0.015
0,0.02
0,0.025
0,0.01
0,0.17
0,0.1
0,0.01
0,0.075
0,0.05
0,0.025
0,0.035
0,0.005
0,0.01
0,0.045
0,0.125
0,0.055
0,0.075
0,0.035
0,0.075
1,0.66
0,0.005
1,0.765
1,0.63
0,0.03
0,0.03
0,0.035
0,0.005
0,0.015
0,0.005
1,0.615
0,0.09
0,0.025
0,0.005
1,0.685
0,0.01
0,0.015
0,0.095
0,0.035
0,0.02
0,0.025
0,0.01
0,0.02
0,0.05
0,0.05
0,0.045
0,0.06
0,0.05
1,0.71
0,0.025
0,0.29
1,0.955
0,0.005
0,0.03
0,0.04
0,0.26
0,0.0
0,0.02
0,0.125
0,0.025
0,0.07
0,0.365
0,0.015
1,0.5432856024847715
0,0.015
0,0.065
0,0.05
1,0.765
0,0.0
0,0.1
0,0.025
0,0.095
0,0.065
0,0.02
0,0.005
0,0.035
1,0.665
0,0.07
0,0.3
0,0.07
0,0.01
0,0.05
0,0.02
0,0.045
0,0.005
0,0.05
1,0.665
0,0.005
1,0.765
0,0.005
0,0.03
0,0.005
0,0.275
1,0.595
0,0.025
0,0.005
0,0.005
0,0.0
1,0.83
0,0.075
0,0.035
1,0.605
0,0.025
0,0.03
0,0.005
0,0.09
0,0.05
0,0.22
1,0.625
0,0.015
0,0.03
0,0.04
0,0.025
0,0.09
1,0.895
0,0.035
1,0.72
0,0.08875326234471238
0,0.045
0,0.205
0,0.01
0,0.015
0,0.02
1,0.95
0,0.0
0,0.02
1,0.735
0,0.145
1,0.645
0,0.0
0,0.045
0,0.145
0,0.075
0,0.01
0,0.0
0,0.2230041779820347
0,0.025
0,0.175
0,0.01
0,0.115
0,0.035
0,0.035
1,0.73
1,0.725
1,0.88
0,0.02
0,0.025
0,0.0
0,0.03
0,0.025
0,0.015
0,0.06
0,0.01
0,0.045
0,0.0
0,0.0
1,0.68
1,0.71
0,0.01
1,0.715
0,0.02
0,0.11
0,0.035
0,0.035
0,0.025
0,0.005
1,0.86
0,0.02
0,0.32
0,0.025
0,0.04
0,0.03
0,0.13
1,0.895
0,0.285
0,0.005
0,0.02
0,0.115
0,0.0
0,0.1667935870930534
0,0.01
0,0.02
0,0.015
0,0.01
0,0.065
0,0.005
0,0.005
0,0.07
0,0.02
1,0.93
0,0.015
0,0.06
1,0.625
0,0.01
0,0.09
0,0.02
0,0.035
0,0.015
0,0.145
0,0.14472575893177456
0,0.165
0,0.03
0,0.015
0,0.05
0,0.08
0,0.075
0,0.295
0,0.025
0,0.01
0,0.01
0,0.065
1,0.785
0,0.005
0,0.055
0,0.02
0,0.025
0,0.005
0,0.04
0,0.03
0,0.05
0,0.165
0,0.14
0,0.08
0,0.06
1,0.62
0,0.125
1,0.7
0,0.0
1,0.78
1,0.705
0,0.055
0,0.1
0,0.015
0,0.14
0,0.025
0,0.06
0,0.0
0,0.005
0,0.07
0,0.05
0,0.01
1,0.995
0,0.03
0,0.255
1,0.94
0,0.07
0,0.035
0,0.035
0,0.28
0,0.05
0,0.075
0,0.075
0,0.06
0,0.085
0,0.215
0,0.02
1,0.85
1,0.955
0,0.07
0,0.045
1,0.755
0,0.235
